id,name,symbol,slug,circulating_supply,total_supply,max_supply,market_cap_usd,price_usd,volume_usd,tags
1,Bitcoin,BTC,bitcoin,20009025,20009025,21000000,1.34624E+12,67281.4723,27503091908,"mineable, pow, sha-256, store-of-value, state-channel, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, galaxy-digital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, bitcoin-ecosystem, layer-1, ftx-bankruptcy-estate, 2017-2018-alt-season, us-strategic-crypto-reserve, binance-ecosystem, binance-listing, sec-cftc-token-taxonomy, sec-cftc-digital-commodities"
1027,Ethereum,ETH,ethereum,120691443.7,120691443.7,0,2.46522E+11,2042.578733,13103810933,"pos, smart-contracts, ethereum-ecosystem, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, hashkey-capital-portfolio, kenetic-capital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, ethereum-pow-ecosystem, layer-1, ftx-bankruptcy-estate, sora-ecosystem, rsk-rbtc-ecosystem, world-liberty-financial-portfolio, us-strategic-crypto-reserve, binance-ecosystem, binance-listing, abstract-chain-ecosystem, unichain-ecosystem, soneium-ecosystem, sophon-ecosystem, sec-cftc-token-taxonomy, sec-cftc-digital-commodities"
825,Tether USDt,USDT,tether,1.84217E+11,1.88925E+11,0,1.84052E+11,0.999104956,55382389046,"stablecoin, asset-backed-stablecoin, usd-stablecoin, ethereum-pow-ecosystem, fiat-stablecoin, tron20-ecosystem, rsk-rbtc-ecosystem, venom-ecosystem, world-liberty-financial-portfolio, binance-ecosystem, binance-listing, peaq-ecosystem, apertum-ecosystem, etherlink-ecosystem, duckchain-ecosystem, onus-ecosystem, sophon-ecosystem, zedxion-smart-chain-ecosystem, xlayer-ecosystem"
1839,BNB,BNB,bnb,136357210.8,136357210.8,136357211.8,83984781154,615.9174178,1500999922,"marketplace, centralized-exchange, payments, smart-contracts, alameda-research-portfolio, multicoin-capital-portfolio, bnb-chain-ecosystem, layer-1, alleged-sec-securities, celsius-bankruptcy-estate, binance-ecosystem, binance-listing, etherlink-ecosystem, made-in-china"
52,XRP,XRP,xrp,61344583754,99985695443,1E+11,82917918907,1.351674652,1541285121,"medium-of-exchange, enterprise-solutions, xrp-ecosystem, arrington-xrp-capital-portfolio, galaxy-digital-portfolio, a16z-portfolio, pantera-capital-portfolio, ftx-bankruptcy-estate, 2017-2018-alt-season, klaytn-ecosystem, made-in-america, us-strategic-crypto-reserve, binance-ecosystem, binance-listing, iso-20022, sec-cftc-token-taxonomy, sec-cftc-digital-commodities"
3408,USDC,USDC,usd-coin,77678065355,77678065355,0,77654232989,0.999693191,6785253736,"medium-of-exchange, stablecoin, asset-backed-stablecoin, stellar-ecosystem, coinbase-ventures-portfolio, usd-stablecoin, xdc-ecosystem, ethereum-pow-ecosystem, fiat-stablecoin, tron20-ecosystem, venom-ecosystem, made-in-america, world-liberty-financial-portfolio, sonic-ecosystem, binance-ecosystem, binance-listing, hyperevm-ecosystem, etherlink-ecosystem, unichain-ecosystem, vector-smart-chain-ecosystem, sophon-ecosystem, monad-ecosystem, xlayer-ecosystem"
5426,Solana,SOL,solana,572495435.6,623328689.3,0,47805983658,83.50456735,3085861816,"pos, platform, solana-ecosystem, cms-holdings-portfolio, kenetic-capital-portfolio, alameda-research-portfolio, multicoin-capital-portfolio, okx-ventures-portfolio, layer-1, ftx-bankruptcy-estate, alleged-sec-securities, cmc-crypto-awards-2024, made-in-america, us-strategic-crypto-reserve, binance-ecosystem, binance-listing, sec-cftc-token-taxonomy, sec-cftc-digital-commodities"
1958,TRON,TRX,tron,94763186891,94763185446,0,30562539489,0.322514897,653619638.8,"media, payments, tron-ecosystem, layer-1, dwf-labs-portfolio, alleged-sec-securities, 2017-2018-alt-season, tron20-ecosystem, world-liberty-financial-portfolio, binance-ecosystem, binance-listing, made-in-china"
74,Dogecoin,DOGE,dogecoin,1.5362E+11,1.5362E+11,0,14263236856,0.092847618,964203462,"mineable, pow, scrypt, medium-of-exchange, memes, payments, doggone-doggerel, doge-chain-ecosystem, osmosis-ecosystem, ftx-bankruptcy-estate, animal-memes, made-in-america, binance-ecosystem, binance-listing, sec-cftc-token-taxonomy, sec-cftc-digital-commodities"
32196,Hyperliquid,HYPE,hyperliquid,256316091.8,956548066.5,961671487.9,9782354186,38.16519719,190293874.7,"decentralized-exchange-dex-token, defi, derivatives, layer-1, hyperliquid-ecosystem, binance-ecosystem, binance-listing, perp-dex-coins"
